Sample_Name,Sample_Plate,Sample_Group,Pool_ID,Project,Sample_Well,Basename,Sentrix_ID,Sentrix_Position
GSM4332034,NA,N,NA,GSE145747,NA,GSM4332034_200863770015_R01C01,200863770015,R01C01
GSM4332035,NA,N,NA,GSE145747,NA,GSM4332035_200863770015_R02C01,200863770015,R02C01
GSM4332036,NA,N,NA,GSE145747,NA,GSM4332036_200863770015_R03C01,200863770015,R03C01
GSM4332037,NA,N,NA,GSE145747,NA,GSM4332037_200863770015_R04C01,200863770015,R04C01
GSM4332042,NA,N,NA,GSE145747,NA,GSM4332042_200932680035_R01C01,200932680035,R01C01
GSM4332043,NA,N,NA,GSE145747,NA,GSM4332043_200932680035_R02C01,200932680035,R02C01
GSM4332046,NA,N,NA,GSE145747,NA,GSM4332046_200932680035_R05C01,200932680035,R05C01
GSM4332047,NA,N,NA,GSE145747,NA,GSM4332047_200932680035_R06C01,200932680035,R06C01
GSM4332054,NA,N,NA,GSE145747,NA,GSM4332054_200661940025_R05C01,200661940025,R05C01
GSM4332055,NA,N,NA,GSE145747,NA,GSM4332055_200661940025_R06C01,200661940025,R06C01
GSM4332056,NA,N,NA,GSE145747,NA,GSM4332056_200661940025_R07C01,200661940025,R07C01
GSM4332057,NA,N,NA,GSE145747,NA,GSM4332057_200661940025_R08C01,200661940025,R08C01
GSM4332038,NA,C,NA,GSE145747,NA,GSM4332038_200863770015_R05C01,200863770015,R05C01
GSM4332039,NA,C,NA,GSE145747,NA,GSM4332039_200863770015_R06C01,200863770015,R06C01
GSM4332040,NA,C,NA,GSE145747,NA,GSM4332040_200863770015_R07C01,200863770015,R07C01
GSM4332041,NA,C,NA,GSE145747,NA,GSM4332041_200863770015_R08C01,200863770015,R08C01
GSM4332044,NA,C,NA,GSE145747,NA,GSM4332044_200932680035_R03C01,200932680035,R03C01
GSM4332045,NA,C,NA,GSE145747,NA,GSM4332045_200932680035_R04C01,200932680035,R04C01
GSM4332048,NA,C,NA,GSE145747,NA,GSM4332048_200932680035_R07C01,200932680035,R07C01
GSM4332049,NA,C,NA,GSE145747,NA,GSM4332049_200932680035_R08C01,200932680035,R08C01
GSM4332050,NA,C,NA,GSE145747,NA,GSM4332050_200661940025_R01C01,200661940025,R01C01
GSM4332051,NA,C,NA,GSE145747,NA,GSM4332051_200661940025_R02C01,200661940025,R02C01
GSM4332052,NA,C,NA,GSE145747,NA,GSM4332052_200661940025_R03C01,200661940025,R03C01
GSM4332053,NA,C,NA,GSE145747,NA,GSM4332053_200661940025_R04C01,200661940025,R04C01
