"","Delta_Beta_Mean"
"cg06734406",-0.101871175512169
"cg13817395",-0.111526865765367
"cg03946671",0.104651697041992
"cg05214293",0.148190241338479
"cg05365824",0.113240372524131
"cg24731441",-0.122270918337735
"cg07541744",0.115546416996335
"cg00211208",-0.131887247250509
"cg10542562",0.122911266816015
"cg25778892",-0.0947419890892665
"cg11288801",0.118082721701827
"cg21574349",-0.160385734706187
"cg06223736",0.105195396401394
"cg03363478",-0.0933659160124874
"cg19845249",-0.122182143508187
"cg11872300",-0.165044850356465
"cg07223952",0.153004257142746
"cg13995427",-0.176074628024052
"cg17586885",-0.111225547529639
"cg01889070",0.0950044547470999
"cg21545857",0.110122248464876
"cg02670123",-0.117065398904544
"cg25743490",-0.120145422008429
"cg20301780",-0.0583630219222641
"cg13045134",-0.13890953317207
"cg04924511",-0.0837854722699326
"cg14987431",0.0876665648975837
"cg13356540",-0.124403977572632
"cg12004430",0.195319106913732
"cg22272840",-0.0738186692299312
"cg07148038",-0.0961257563785955
"cg05965745",-0.150918920468999
"cg12495559",-0.174314651178857
"cg06242243",-0.119720306632081
"cg15578948",0.167187298919775
"cg23063311",0.109105870409555
"cg24849726",0.129403036177586
"cg14171514",-0.118395462600001
"cg26736850",0.134496890892174
"cg11743259",-0.0837441775827702
"cg18575532",-0.073504042782629
"cg03387092",0.134673026501019
"cg07883124",-0.105679929924214
"cg22812442",-0.104770802128732
"cg09025071",-0.132808610580651
"cg21920221",-0.119137505731289
"cg01438365",0.181780166375656
"cg10940066",-0.172044554839852
"cg05849431",0.1709481838908
"cg26203839",-0.0780333214305708
"cg25141181",0.173481426447616
"cg01952313",-0.126302956727482
"cg23764603",-0.142821536327499
"cg08668199",-0.210691160490884
"cg01463146",-0.0861382306291134
"cg06905511",-0.108608524503474
"cg20742389",-0.222300200635488
"cg08418872",-0.10315202750085
"cg20136100",-0.114524061840966
"cg18064256",-0.130022934193143
"cg16366262",-0.175159951935493
"cg20556517",-0.179867463742752
"cg12103897",-0.100898112343192
"cg24117274",-0.174972407190779
"cg15160709",0.125430457451302
"cg17514766",-0.174690574703832
"cg22941668",-0.119904248354282
"cg25526061",-0.123195417984137
"cg09921821",-0.144327411001652
"cg16617297",0.122211598772771
