"","GSM7434229","GSM7434230","GSM7434231","GSM7434232","GSM7434233","GSM7434234","GSM7434237","GSM7434238","GSM7434239","GSM7434240","GSM7434241","GSM8114535","GSM8114536","GSM8114537","GSM8114538"
"cg06734406",0.755270092226614,0.661534741254232,0.701644063944238,0.700111069974084,0.759037347713202,0.728251303229301,0.801167964404894,0.571776946837913,0.897748303516348,0.713475436831031,0.89044737807114,0.911972869360071,0.857391506149919,0.853314360251393,0.755311431236398
"cg13817395",0.464288448289061,0.773724735322425,0.732013201320132,0.758603066439523,0.751324433142615,0.611516452074392,0.57694634062041,0.536143159877561,0.685049833887043,0.759996429846483,0.857211492264822,0.799002969876962,0.731575732899023,0.667952604023147,0.662578410261211
"cg03946671",0.188024298524732,0.359962842545286,0.404620731956655,0.258388566694283,0.324443767144163,0.382064364207221,0.30035305261345,0.359782128661858,0.300860784638305,0.390615835777126,0.296541490697409,0.239931846344486,0.28174051261673,0.222089266483188,0.245318547965268
"cg05214293",0.390364468053711,0.230893076995928,0.372053462940462,0.394123835287045,0.31813801079414,0.257634475275151,0.247556719022688,0.188947319863456,0.290253646752764,0.353647204584172,0.273134971970677,0.111396377121666,0.255975760296263,0.212745217497258,0.183013765978368
"cg05365824",0.326799897514732,0.184940008274721,0.283649122807018,0.358637722604966,0.297025434688892,0.305728518057285,0.315698393077874,0.575512480825547,0.300160944206009,0.412181479179615,0.267404033832141,0.150571541190382,0.116828193832599,0.181342502616236,0.221542227662179
"cg24731441",0.392115600448934,0.456357956633591,0.309769923307769,0.556738228396175,0.504030632809351,0.363287741275725,0.219012934823559,0.271999199119031,0.293311001779546,0.364653010033445,0.476935455033077,0.358909853249476,0.443852013057671,0.546635542474373,0.546289606770565
"cg07541744",0.549774356251659,0.335573122529644,0.427603203943315,0.374609375,0.3936230248307,0.185945945945946,0.160182119205298,0.443882709807887,0.217169136433316,0.37246963562753,0.295397788084195,0.22992125984252,0.384023921401111,0.393921334922527,0.396697388632873
"cg00211208",0.276301806588735,0.49335503119067,0.565951838984066,0.469175170068027,0.553989783336269,0.590266176634369,0.778200438917337,0.519663947400463,0.528719031218754,0.595398559144783,0.710149041873669,0.598497825800501,0.762235649546828,0.76007866273353,0.657444864935404
"cg10542562",0.324782830863567,0.448001326919887,0.484969300693725,0.462244644777107,0.425259928413158,0.588442512366961,0.150378155387487,0.366305041480536,0.384579256360078,0.408938749660726,0.293185419968304,0.443827466534457,0.242208474378429,0.306707804822306,0.429793023029832
"cg25778892",0.254078303425775,0.200498753117207,0.238221047996477,0.314390467461045,0.233905579399142,0.257822601499871,0.322225360067777,0.207207207207207,0.210966232029422,0.301544660846206,0.278584729981378,0.312002652519894,0.245350734094617,0.316923076923077,0.328045035823951
"cg11288801",0.243841126194067,0.276252983293556,0.232866795366795,0.142613359336909,0.216242661448141,0.171910112359551,0.338960342979636,0.375463306152706,0.235253296321999,0.284227642276423,0.129678439641539,0.0591775325977934,0.118110236220472,0.0701275045537341,0.180153886972672
"cg21574349",0.180412371134021,0.272638753651412,0.275199249882794,0.409223584354933,0.225121359223301,0.176332288401254,0.344344344344344,0.122262773722628,0.408885542168675,0.369259032455603,0.567448680351906,0.392007611798287,0.249268292682927,0.307231690465223,0.245889101338432
"cg06223736",0.162899454403741,0.12007601935038,0.254948247684765,0.238057451198222,0.161666348175043,0.347407726554646,0.28,0.327844311377246,0.374883720930233,0.389988580129425,0.114559260482007,0.248675246025738,0.0704893295968959,0.0823027718550107,0.121606334841629
"cg03363478",0.0657234139662255,0.589821882951654,0.535732133933034,0.608247422680412,0.562524811433108,0.503215434083601,0.555592991913747,0.472021660649819,0.350449973530969,0.673972602739726,0.292467532467532,0.64592050209205,0.546005509641873,0.707327586206897,0.621561338289963
"cg19845249",0.347117794486216,0.527272727272727,0.545454545454545,0.521469218830833,0.372950819672131,0.469030969030969,0.491735537190083,0.378158109209454,0.523617511520737,0.372241579558653,0.554526015680684,0.454976303317536,0.669092945128779,0.451258876694642,0.5552016985138
"cg11872300",0.55687468290208,0.556763451217834,0.358191426893717,0.588904363974002,0.482863974495218,0.0774762994442628,0.389452963116453,0.0349693251533742,0.241231593038822,0.394097616345062,0.601483258806849,0.415218584232669,0.407726597325409,0.256809338521401,0.564826868003124
"cg07223952",0.469724770642202,0.18010752688172,0.301990049751244,0.22109158186864,0.143132220795892,0.266598569969356,0.317594834543987,0.651298701298701,0.330022075055188,0.44533527696793,0.0536989431590974,0.14034151547492,0.0731026785714286,0.087856071964018,0.110198675496689
"cg13995427",0.327586206896552,0.521889400921659,0.365350618738951,0.423584173778123,0.492863939105614,0.364179104477612,0.425776754890679,0.207106598984772,0.570052539404553,0.305274971941639,0.459484346224678,0.350374064837905,0.5390625,0.584629460201281,0.38436744560838
"cg17586885",0.788135593220339,0.589570552147239,0.713562053879807,0.720169990192874,0.655398037077426,0.493473033321883,0.720349423227685,0.626186487995533,0.769533055940823,0.542723977213879,0.72765092879257,0.808787507654623,0.761093111705874,0.743325594892629,0.77801724137931
"cg01889070",0.14902411021814,0.155355462975407,0.316462992852202,0.242799393633148,0.270858735411949,0.178145967410653,0.180208450072845,0.338658146964856,0.094569035395839,0.324975208953109,0.233084641111397,0.269852042893987,0.0735386549340038,0.0668563300142248,0.142337298810357
"cg21545857",0.2962136623138,0.379123883589525,0.300081342897286,0.388372093023256,0.36222773153887,0.425637325637326,0.42577744067613,0.503688493421553,0.41431031609355,0.455834126732254,0.415763729800012,0.36725247703768,0.488051916545366,0.435255841467022,0.472155926809865
"cg02670123",0.706913339824732,0.704422869471413,0.783979328165375,0.662515566625156,0.635,0.724810400866739,0.587786259541985,0.422110552763819,0.626973684210526,0.519318181818182,0.794010226442659,0.666238767650834,0.848468848996832,0.874098724348308,0.83615221987315
"cg25743490",0.588965517241379,0.696139476961395,0.532585083272991,0.854848304580607,0.828332513526808,0.761593729588504,0.684463107378524,0.688725490196078,0.770865733540695,0.789634146341463,0.742681047765794,0.75625,0.852292020373514,0.798066595059076,0.894035087719298
"cg20301780",0.471327143637357,0.706388206388206,0.724045053868756,0.723092730541998,0.717621504208526,0.692230070635722,0.54084397986837,0.698584512905912,0.756830601092896,0.615682895303748,0.76129699896516,0.703030303030303,0.757204610951009,0.73290273556231,0.770195838433293
"cg13045134",0.526610644257703,0.478114478114478,0.383006535947712,0.603299293008641,0.546240276577355,0.344086021505376,0.358,0.409514925373134,0.670611439842209,0.506571087216249,0.516786570743405,0.482549317147193,0.577028885832187,0.582178217821782,0.59719298245614
"cg04924511",0.650498051104374,0.865502381492402,0.713908782510366,0.818022747156605,0.757440476190476,0.739276139410188,0.817188484975835,0.806500377928949,0.745731254639941,0.751058254384197,0.915864282439248,0.885022176731491,0.848306332842415,0.9305763874009,0.832424176303731
"cg14987431",0.128197411977129,0.242489270386266,0.245663650075415,0.251393016344725,0.189084402028035,0.308580400849728,0.158592897321803,0.341075576201537,0.377991994118128,0.182747742847819,0.16754647693367,0.344135397533456,0.17625,0.265289158057238,0.172720904633243
"cg13356540",0.606519388228024,0.625613127619727,0.678378378378378,0.768001266023105,0.678062080536913,0.50256629597947,0.760413354531002,0.497012273901809,0.754138665792493,0.666050420168067,0.840938463067899,0.66578564820933,0.841042893187553,0.819886294907463,0.706943946456317
"cg12004430",0.355365266256355,0.425178753830439,0.375119450959951,0.390743168296864,0.360387096774194,0.356285816618911,0.353587503309505,0.932637853949329,0.291001730436455,0.38135831381733,0.343484419263456,0.396004378762999,0.101626016260163,0.177922077922078,0.218520721792584
"cg22272840",0.774799753542822,0.60675818373812,0.715380195364873,0.724341085271318,0.751104182904651,0.423834490576732,0.353435343534353,0.732102908277405,0.714368819080861,0.598858898398069,0.689455388180765,0.847233923055322,0.802732707087959,0.807727690892364,0.770319874147876
"cg07148038",0.788398268398268,0.746555323590814,0.75542489150217,0.748303844618864,0.797479281767956,0.715850659512631,0.714992242048099,0.756767569009201,0.653694131955001,0.77396389524536,0.778613472858077,0.891514742291245,0.878558194374263,0.907947767209415,0.829816017316017
"cg05965745",0.717237188576058,0.649186856953203,0.731500719194502,0.647004969918912,0.655351889567776,0.505433045701502,0.46612268687163,0.326210546951578,0.539814152966405,0.728071459950212,0.869719042663892,0.774714189643578,0.869346733668342,0.793682310469314,0.675453514739229
"cg12495559",0.625079365079365,0.472112160926547,0.377885548011639,0.65125748502994,0.620950888192268,0.387688277668631,0.395560040363269,0.33841961852861,0.597218111867416,0.391831357048748,0.495829471733086,0.620468277945619,0.710467079347214,0.742400501410216,0.705817540766858
"cg06242243",0.732959101844427,0.482412060301508,0.714811891607472,0.571285642821411,0.627450980392157,0.763423710792132,0.636363636363636,0.586920980926431,0.582249426166794,0.595125786163522,0.555555555555556,0.549738219895288,0.768206734534064,0.78735632183908,0.81018981018981
"cg15578948",0.639906922629436,0.533657182512144,0.459396390790292,0.398643556895252,0.473556721840937,0.268923076923077,0.491406029867568,0.923645320197044,0.269322709163347,0.632463027204674,0.335048087676135,0.316255068190195,0.256498388829216,0.114606741573034,0.213138336130424
"cg23063311",0.0414817343803346,0.19513913349771,0.277291526401847,0.124513618677043,0.232099366780321,0.287170773152082,0.191869918699187,0.380748357612111,0.264382510866786,0.294395589972437,0.0893606516909405,0.193690388848129,0.102356219913859,0.0753790613718412,0.153971708378672
"cg24849726",0.460526315789474,0.1225534477567,0.285102420856611,0.222374339917856,0.237973760932945,0.513676470588235,0.243168232280102,0.748896911351785,0.333720930232558,0.409177820267686,0.0612818590704648,0.148148148148148,0.169865841073271,0.0737485670615208,0.0722096858184343
"cg14171514",0.164142943670503,0.243482103402563,0.289460154241645,0.335068622811169,0.280904522613065,0.255487804878049,0.317547055251973,0.121212121212121,0.232011070110701,0.359930110658125,0.209905660377358,0.352183249821045,0.454545454545455,0.386459802538787,0.399411187438665
"cg26736850",0.613605898123324,0.509710516672774,0.493491899990636,0.445692883895131,0.472369819341126,0.593424563215423,0.493985135238679,0.896278555637436,0.423627134287033,0.633620329348826,0.280152875299973,0.483666250520183,0.265649249870667,0.395882077678989,0.392687173534533
"cg11743259",0.224083295608873,0.0731382978723404,0.117406840224604,0.191674208144796,0.241830065359477,0.104526748971193,0.0632854578096948,0.0797594142259414,0.189928719245804,0.185277088502895,0.223140495867769,0.24713031735314,0.110789980732177,0.0721649484536082,0.140122360371028
"cg18575532",0.780994917603573,0.703557960321364,0.694515695614999,0.750455118330766,0.789917412250516,0.74307992202729,0.514023510002062,0.622120568534553,0.645245332175423,0.719139297848245,0.677114641477029,0.774965118596771,0.699523574831608,0.718005445881552,0.793242561775088
