"","GSM7434229","GSM7434230","GSM7434231","GSM7434232","GSM7434233","GSM7434234","GSM7434237","GSM7434238","GSM7434239","GSM7434240","GSM7434241","GSM8114535","GSM8114536","GSM8114537","GSM8114538"
"cg17784749",0.133520074696545,0.131782945736434,0.0665127020785219,0.0912565695174391,0.0947109471094711,0.135609756097561,0.12111801242236,0.120331950207469,0.0872540633019675,0.106537530266344,0.135686274509804,0.143724696356275,0.0874524714828897,0.101750547045952,0.083987915407855
"cg11288801",0.243841126194067,0.276252983293556,0.232866795366795,0.142613359336909,0.216242661448141,0.171910112359551,0.338960342979636,0.375463306152706,0.235253296321999,0.284227642276423,0.129678439641539,0.0591775325977934,0.118110236220472,0.0701275045537341,0.180153886972672
"cg00894378",0.237320574162679,0.293598233995585,0.305745554035568,0.343283582089552,0.284779050736498,0.243792325056433,0.275835866261398,0.373862696443342,0.351540616246499,0.275423728813559,0.367957746478873,0.301310043668122,0.303448275862069,0.269558481797057,0.27442996742671
"cg13995427",0.327586206896552,0.521889400921659,0.365350618738951,0.423584173778123,0.492863939105614,0.364179104477612,0.425776754890679,0.207106598984772,0.570052539404553,0.305274971941639,0.459484346224678,0.350374064837905,0.5390625,0.584629460201281,0.38436744560838
"cg20301780",0.471327143637357,0.706388206388206,0.724045053868756,0.723092730541998,0.717621504208526,0.692230070635722,0.54084397986837,0.698584512905912,0.756830601092896,0.615682895303748,0.76129699896516,0.703030303030303,0.757204610951009,0.73290273556231,0.770195838433293
"cg07148038",0.788398268398268,0.746555323590814,0.75542489150217,0.748303844618864,0.797479281767956,0.715850659512631,0.714992242048099,0.756767569009201,0.653694131955001,0.77396389524536,0.778613472858077,0.891514742291245,0.878558194374263,0.907947767209415,0.829816017316017
"cg12495559",0.625079365079365,0.472112160926547,0.377885548011639,0.65125748502994,0.620950888192268,0.387688277668631,0.395560040363269,0.33841961852861,0.597218111867416,0.391831357048748,0.495829471733086,0.620468277945619,0.710467079347214,0.742400501410216,0.705817540766858
"cg01438365",0.217536071032186,0.153785113474052,0.256068376068376,0.393925553779402,0.33529945553539,0.500303766707169,0.476865289397302,0.211254612546125,0.209872710338404,0.498578199052133,0.232191163210099,0.282153983088563,0.213132795304475,0.414648729446936,0.308200734394125
"cg05849431",0.417564208782104,0.339566704675029,0.395114503816794,0.454194260485651,0.387301207700586,0.319543509272468,0.287113702623907,0.649194821597727,0.272868388956647,0.476475314704044,0.370713340795767,0.165847442199163,0.281641523906929,0.255546311702718,0.216520650813517
"cg26203839",0.629171817058096,0.73773987206823,0.715677590788308,0.785834031852473,0.656565656565657,0.492967651195499,0.773109243697479,0.707414829659319,0.68476357267951,0.773799126637555,0.725656877897991,0.744444444444444,0.8,0.845045831514622,0.732213875386655
"cg23764603",0.264888888888889,0.35304347826087,0.341936664836171,0.307583130575831,0.418018018018018,0.217191097467383,0.345001143902997,0.0963405526512323,0.247694672131148,0.221442885771543,0.391329368885479,0.515182186234818,0.369824561403509,0.396477760216753,0.480814779725249
"cg12103897",0.586787564766839,0.595382746051033,0.797256097560976,0.704971475142624,0.673166202414113,0.704805491990847,0.653203342618384,0.620689655172414,0.502808988764045,0.630985915492958,0.618817852834741,0.556451612903226,0.706448508180943,0.659090909090909,0.730574324324324
