"","GSM7434220","GSM7434221","GSM7434222","GSM7434223","GSM7434225","GSM7434226","GSM7434227","GSM7434228","GSM8114527","GSM8114528","GSM8114529","GSM8114530","GSM8114531","GSM8114532","GSM8114533","GSM8114534"
"cg17784749",0.0756376429199648,0.101466275659824,0.0527315914489311,0.0725094577553594,0.0741573033707865,0.0684931506849315,0.0583941605839416,0.0877483443708609,0.0957361222847948,0.0764767932489451,0.0664864864864865,0.0844099913867356,0.10587550901687,0.0503080082135524,0.0698874296435272,0.0800662617338487
"cg11288801",0.0528606965174129,0.124333925399645,0.147619047619048,0.107918263090677,0.090548251054329,0.0740194632851666,0.124431583298884,0.0458298926507019,0.0570160464322294,0.0809932013006208,0.0871254162042175,0.0894348894348894,0.0623593699774992,0.131079967023908,0.0545294635004398,0.0604481500781657
"cg00894378",0.17580452920143,0.247793190416141,0.264259927797834,0.251628664495114,0.238169123351435,0.204452255418863,0.256439610761305,0.282727272727273,0.235429447852761,0.211370262390671,0.190609670637701,0.219339622641509,0.252373417721519,0.244810307802434,0.231697506033789,0.229166666666667
"cg13995427",0.671981776765376,0.678879310344828,0.580829756795422,0.541275797373358,0.479768786127168,0.460885385081868,0.498197548666186,0.340909090909091,0.589301903898459,0.755329949238579,0.763703703703704,0.497777777777778,0.782750203417413,0.563367252543941,0.692871419053964,0.662385321100917
"cg20301780",0.756920743268866,0.775345911949685,0.801467889908257,0.782509007533574,0.750406063887385,0.760054844606947,0.787904967602592,0.728675525075011,0.838755304101839,0.825097334531297,0.826076940797051,0.787479849543256,0.811532125205931,0.7988883274381,0.775703392058901,0.784887678692988
"cg07148038",0.87272285644887,0.929702840685954,0.894473455178416,0.912014787430684,0.862107803700724,0.804067092177527,0.850624133148405,0.835639312977099,0.897117117117117,0.91553740486356,0.855108269146926,0.902564102564103,0.875386870825867,0.903672486453943,0.888946347769877,0.858732876712329
"cg12495559",0.804009433962264,0.747607655502392,0.723540389229539,0.667871222076216,0.601138828633406,0.668572790088158,0.663770053475936,0.647412755716005,0.748678071539658,0.72845953002611,0.734778121775026,0.721733243060257,0.751258811681772,0.812655367231638,0.690634595701126,0.752098321342926
"cg01438365",0.281002815390803,0.0562969140950792,0.187137891077636,0.151232876712329,0.162168674698795,0.255832344800316,0.144119503471492,0.0915735167669819,0.0672358591248666,0.195246179966044,0.392981173460062,0.118695754163734,0.0828169014084507,0.0480301018149624,0.0778045838359469,0.0579201404124616
"cg05849431",0.0889296956977964,0.151728768042967,0.110264290104487,0.182902584493042,0.389042498719918,0.189846070753443,0.3867823479006,0.24409197360017,0.239752285461516,0.163248697916667,0.179899036255163,0.13330070158264,0.0856327307326356,0.183813844577784,0.132878540708883,0.160447276036926
"cg26203839",0.833130328867235,0.777205408886027,0.849005424954792,0.80154781647319,0.827699018538713,0.806758686339838,0.761792452830189,0.7719836400818,0.83969465648855,0.850296176628972,0.836633663366337,0.817989417989418,0.804100227790433,0.792764857881137,0.836320595197836,0.826109936575053
"cg23764603",0.472613458528951,0.587726879861711,0.502967741935484,0.39026402640264,0.473165829145729,0.396688264938805,0.412840541055439,0.464914234796168,0.513979773944081,0.380791653881559,0.518518518518518,0.452824332712601,0.491075315629081,0.470061188811189,0.506807511737089,0.547792444242148
"cg12103897",0.7363100252738,0.717998075072185,0.659217877094972,0.772727272727273,0.696167883211679,0.834983498349835,0.757595772787318,0.677570093457944,0.740927419354839,0.735691987513007,0.74234503360717,0.757009345794392,0.730814639905549,0.771402550091075,0.802880970432146,0.780487804878049
"cg17514766",0.852028639618138,0.773203070481507,0.79047907822923,0.784065372829418,0.821676802780191,0.654054054054054,0.727969348659004,0.889135959339263,0.801531393568147,0.814452659193895,0.765403529071449,0.859594822734947,0.763278511728229,0.885079365079365,0.802241419565725,0.782104080868589
"cg25526061",0.867485220554798,0.920430291129514,0.919473566807941,0.869447576099211,0.805714916151809,0.926493277496143,0.874682285335396,0.948768132627216,0.94094550023559,0.930508723061135,0.899465826599096,0.925806451612903,0.941235922610453,0.900638103919781,0.845530365323623,0.936116700201207
"cg09921821",0.80394046471785,0.869177907864597,0.647020042194093,0.760863431151242,0.80797385620915,0.725316306018683,0.658008658008658,0.942061855670103,0.798245614035088,0.773138975375035,0.748756218905473,0.88733965421082,0.930314887274082,0.704176734552986,0.747237757468285,0.700746185544047
"cg17562433",0.449855351976856,0.616400277970813,0.528752156411731,0.649097983728334,0.54888178913738,0.697524584604951,0.490701859628074,0.566752799310939,0.586329866270431,0.538856555973982,0.461910519951632,0.568957456755493,0.374299719887955,0.517971442639094,0.486704813194211,0.477832512315271
"cg16681977",0.188215488215488,0.233041575492341,0.194841408156152,0.216578626574563,0.19482884195193,0.199652173913043,0.193044033184429,0.264189189189189,0.211001642036125,0.179094540612517,0.176807900605288,0.228203184230478,0.214694236691597,0.204819277108434,0.145980905451186,0.200193735873426
"cg03477080",0.834356970035362,0.752015478877781,0.739715591670899,0.651378579003181,0.643887443840151,0.741213288396726,0.673539518900344,0.874620270643469,0.763223397635345,0.800161160354553,0.778561675011379,0.700948212983224,0.857515487447017,0.74957507082153,0.873126873126873,0.765438642989663
"cg16729850",0.0885753478346071,0.131678252234359,0.0861468847894187,0.0918155380141255,0.0791590493601463,0.121077032810271,0.125851393188854,0.156032482598608,0.0451776649746193,0.0595209291071861,0.110206513105639,0.0501899077590884,0.0597269624573379,0.0693754052301707,0.111498897869214,0.0794123486202104
"cg06495631",0.193188442001832,0.0909618734275208,0.0396928871505143,0.0501465823175436,0.03279950723745,0.128982329420869,0.050852079072938,0.0344665517781607,0.0227272727272727,0.0566635847312112,0.128745212885785,0.0373438527284681,0.0211796576776259,0.0330368487928844,0.0215078630897317,0.0316098196828156
"cg26940479",0.0926859250153657,0.152747031595895,0.179562472471003,0.0619250308938624,0.0590269202272166,0.116556463114223,0.11762738320883,0.0443765459042631,0.0734177215189873,0.0886720407297412,0.129610730427176,0.125589437283873,0.078531912022669,0.0944759938048529,0.110949484263422,0.130262506191184
"cg26656751",0.908800464711008,0.805766124021374,0.778300998304766,0.703491008009672,0.812581425646752,0.649449396958574,0.752101400933956,0.763364779874214,0.785573299838507,0.88795158628278,0.779382560028886,0.86934399418499,0.815911059774762,0.828241485162988,0.79318313113807,0.875548162709814
"cg14590369",0.900033489618218,0.885186852769023,0.883217477656405,0.843757978044422,0.828068264342774,0.855355997434253,0.838575152041703,0.907199100112486,0.866256157635468,0.899585444495624,0.894736842105263,0.91306379995326,0.940053178631859,0.907049404413201,0.937305376790533,0.9115712545676
"cg26927232",0.849547511312217,0.795309168443497,0.588507877664504,0.715778474399164,0.758263123784835,0.828612926652142,0.745558375634518,0.760550458715596,0.821400472069237,0.815841584158416,0.821875,0.77626303127506,0.803289057558507,0.835043988269795,0.812347684809098,0.832904884318766
"cg08123444",0.825471698113208,0.89538661468486,0.861928104575163,0.771428571428571,0.766359447004608,0.842790697674419,0.808829654310704,0.81661511268228,0.842342342342342,0.830014749262537,0.870704923839887,0.828729281767956,0.840893470790378,0.847331402565163,0.889438943894389,0.846440783338514
"cg06282596",0.679811866859624,0.733130699088146,0.800860479409957,0.713333333333333,0.664959016393443,0.815243608297154,0.723712835387962,0.591964285714286,0.619156214367161,0.68922305764411,0.736401673640167,0.702430846605197,0.700534759358289,0.759526938239159,0.70211161387632,0.766706443914081
