"","Delta_Beta_Mean"
"cg14797042",-0.0840811721980955
"cg09261072",0.0840935935074035
"cg02404579",0.0838812094779716
"cg23728960",-0.14755188451206
"cg09430819",0.0511657140768266
"cg13871826",0.0730337813882083
"cg10855276",0.132355804285152
"cg12406992",0.0964685560533537
"cg01282269",-0.0636482316681764
"cg21432842",0.078984475598744
"cg12062270",-0.337609552239345
"cg06964503",0.105983615308897
"cg22685502",0.0833458162728429
"cg20259501",0.0436980578363272
"cg24506916",0.0605557732917279
"cg13643060",0.101888096333568
"cg03434319",0.0507730880535211
"cg07176589",0.0659157556477029
"cg14485407",-0.0431733284663753
"cg20060284",0.116168033558863
"cg19789047",0.0446634694899367
"cg17021917",-0.113267068627385
"cg08792798",-0.0465032216158049
"cg04405466",0.0789872359205534
"cg00982984",-0.0395145361178035
"cg07267139",0.113330123893887
"cg04226863",0.0144322816049798
"cg03760670",0.0950671349069659
"cg01414772",-0.0445503737628717
"cg23659616",0.156854136627245
"cg25771195",0.0670178344240783
"cg01808968",0.15351376667066
"cg18527814",0.110062735820582
"cg17652538",0.0289686215288328
"cg05747357",0.0537441332840138
"cg26550989",0.0626263763170346
"cg17526311",0.146628034153999
"cg04834289",0.0864764725376558
"cg11735846",0.0924447509524742
"cg12039595",0.0356552688108741
"cg17484733",-0.0878788167779747
"cg13323074",0.184251249718869
"cg07671420",0.180195773247046
"cg14003978",0.036094772121881
"cg01262913",0.0867139420521672
"cg11798406",0.173219606721864
"cg11579693",0.12666052868647
"cg05194412",0.0808197605696217
"cg10663442",0.0742765665212168
"cg07612655",0.0981711431896802
"cg08800144",-0.0683470502062455
"cg08670534",-0.15811741587394
"cg17309077",0.111844871924932
"cg18486235",0.0400691208883565
"cg25153852",0.154869564812692
"cg12786697",0.0948848241169285
"cg09752625",-0.0960351459000264
"cg17295556",0.0878566724865543
"cg03328369",0.0752557081442616
"cg12867876",0.0361046517864094
"cg18196453",0.115775133077898
"cg12486635",-0.120313971073655
"cg08163642",0.0763650499580404
"cg04872660",0.0807271886047242
"cg15558558",-0.105757530395262
"cg25433259",0.351354346044455
"cg18383680",-0.0547623761713817
"cg24467428",0.117872922731245
"cg02172637",-0.147405305984721
"cg07813265",0.184354578276454
"cg05880975",0.0856339433522617
"cg23583457",-0.0554461705817966
"cg20571119",0.150984030143133
"cg27225997",0.10660265423188
"cg08787401",0.103116656730117
"cg21567022",-0.0499326888684133
"cg15311873",0.0629878679113705
"cg06188746",0.100557488189977
"cg05385260",-0.164733409636671
"cg01079345",0.0563125884964804
"cg01542452",0.204048029655548
"cg13474083",-0.0877900252402906
"cg14813741",-0.053870517252494
"cg20281573",0.0716929219317874
"cg09136786",0.209435973218582
"cg01003928",0.0701706551439802
"cg08248297",-0.265031753081151
"cg10330169",-0.0970939264066411
"cg19986295",-0.152878166050374
"cg23872009",0.0660238699793339
"cg11995137",0.0879048359638921
"cg12973549",-0.0900219605292643
"cg25555772",0.124073492271244
"cg00718527",0.05049061884995
"cg04898835",-0.0372853323157797
"cg13572037",0.25041616512859
"cg26483667",0.0472382750263778
"cg03367519",0.154703327708673
"cg14318180",0.13315671970187
"cg00637744",-0.0604483958274819
"cg07158163",0.0303827334742574
"cg01968493",-0.0371180586726308
"cg08983446",-0.0731170092642916
"cg24660073",-0.0463479781166314
"cg27259100",-0.0265893069008184
"cg06067885",-0.269531087568219
"cg08683731",-0.218763714167065
"cg15383740",-0.137992922936528
"cg19230532",-0.032258008821838
"cg26093123",0.0847603051399378
"cg15529130",-0.0709176201972284
"cg15788625",0.15816632644051
"cg20681321",0.0755331554287669
"cg08847738",0.152932700148686
"cg21112220",0.0278784813814104
"cg18623476",0.0940473123351922
"cg10710457",0.0541284927654802
"cg19912197",0.042711648410945
"cg00617975",0.0932661019826406
"cg26435773",0.0460324992254642
"cg19791728",0.106398888449308
"cg14785392",0.180607417625607
"cg00462700",-0.17789903424157
"cg03289833",0.0357241949833794
"cg10101975",-0.0420737651630544
"cg21769463",0.0853455628295131
"cg09248044",0.0752026423809364
"cg05103917",0.119372168422825
"cg13335388",-0.0655177469541689
"cg15912031",0.132949766411204
"cg02616886",0.134252460142668
"cg10618553",0.0875148459857053
"cg03324748",0.0759825312629756
"cg18203005",0.157594451997989
"cg07056138",0.133641034887725
"cg14220262",-0.106547152795716
"cg21063296",0.0667301151907538
"cg23202058",0.0369967298119569
"cg11051597",-0.0967022638355648
"cg17307912",-0.0261032903893219
"cg05628049",-0.0624649386332689
"cg02784956",0.0645439793913522
"cg00176407",0.361435551692992
"cg18511007",-0.1560627551632
"cg07042179",-0.0940942673478414
"cg18896174",0.0385394759620829
"cg04500520",-0.0798918500330743
"cg27226564",0.0433436066494101
"cg05888894",0.152738906823084
"cg11400153",0.174309668463115
"cg02296627",-0.143315515423988
"cg20445254",-0.0648990359006869
"cg15821214",0.116973110134565
"cg26405097",0.0198010117427675
"cg04415168",-0.0342400350708686
"cg27348710",-0.0327128945456931
"cg08876964",-0.124849864379666
"cg12999267",0.114337539437366
"cg20083442",0.0689766840077377
"cg19134374",-0.0590718921514554
"cg14950134",0.21964955834994
"cg13759797",0.204098518199446
"cg14548597",0.0943243598513115
"cg13438722",0.0824737209261593
"cg05622566",-0.081398565234296
"cg09633152",0.120098071048984
"cg15865637",0.0509903688563504
"cg07552544",0.0495289722932406
"cg25431820",0.127914434729222
"cg14138047",-0.111217881966029
"cg25219415",0.18778533837839
"cg00666360",-0.149338145663056
"cg26207409",0.0894605490309197
"cg00327735",0.0534191546552802
"cg16760684",0.0929350390011788
"cg02161940",0.112046881523838
"cg12477065",0.123658907121106
"cg07826657",0.0662658235787002
"cg15163306",-0.0500646738389778
"cg13696505",0.0464646854661587
"cg15696968",0.0899012035203558
"cg06947381",-0.0461858042524322
"cg06566847",-0.0567938676723279
"cg25554986",0.151046610097287
"cg21368651",0.156574595838512
"cg12482123",-0.0882532185084509
