,N_to_C.logFC,N_to_C.AveExpr,N_to_C.t,N_to_C.P.Value,N_to_C.adj.P.Val,N_to_C.B,N_to_C.N_AVG,N_to_C.C_AVG,N_to_C.deltaBeta,N_to_C.CHR,N_to_C.MAPINFO,N_to_C.Strand,N_to_C.Type,N_to_C.gene,N_to_C.feature,N_to_C.cgi,N_to_C.feat.cgi,N_to_C.UCSC_Islands_Name,N_to_C.SNP_ID,N_to_C.SNP_DISTANCE
cg25702579,-0.321537266689233,0.465114313729979,-8.46887028299665,1.72111602344138e-09,0.00122528142936418,11.7567483155551,0.309531765331963,0.631069032021196,0.321537266689233,17,76182351,F,II,TK1,Body,shore,Body-shore,chr17:76183077-76183449,rs535466846;rs555457635,2;15
cg04687081,-0.209372443317513,0.212492228933481,-7.76540827181904,1.06793439758421e-08,0.00253526026296029,9.95983534584314,0.111182982166943,0.320555425484456,0.209372443317513,11,62752123,F,II,SLC22A6,1stExon,opensea,1stExon-opensea,,rs148086982;rs537423039,10;43
cg20675009,-0.317890308992825,0.339245311163442,-7.76525685693065,1.06836118403577e-08,0.00253526026296029,9.95944171288876,0.1854274197153,0.503317728708126,0.317890308992825,2,49255400,F,II,FSHR,Body,opensea,Body-opensea,,rs138851733;rs142057620;rs565656156;rs10495962;rs547788261;rs17038075,0;2;11;31;43;49
cg08646758,-0.260537195933492,0.328483505222086,-7.44268394179298,2.518358160449e-08,0.00358842370008654,9.11447262175786,0.202417120092977,0.462954316026469,0.260537195933492,19,47860277,F,II,DHX34,Body,opensea,Body-opensea,,rs539149025;rs552850341,1;47
cg09679693,-0.208633921741942,0.48785315002625,-7.36675694983328,3.08707994876385e-08,0.00358842370008654,8.91377783571007,0.386901252409181,0.595535174151124,0.208633921741942,14,73993391,F,II,HEATR4,5'UTR,opensea,5'UTR-opensea,,rs576074098;rs191594580;rs145098760,0;1;32
cg09622871,-0.239892709892499,0.413026217194847,-7.36327620982866,3.11608097429106e-08,0.00358842370008654,8.90456130152134,0.296949099504928,0.536841809397428,0.239892709892499,5,138755643,R,II,DNAJC18,Body,opensea,Body-opensea,,rs567741238;rs559385671,49;7
cg13938231,-0.187962193358717,0.191315528866877,-7.31706733797842,3.52838569717363e-08,0.00358842370008654,8.78207452881813,0.100366080467497,0.288328273826214,0.187962193358717,16,84725230,F,II,,IGR,opensea,IGR-opensea,,rs111679538;rs536512647,0;1
cg05793013,-0.0875530118598965,0.816810025861354,-7.19981755541001,4.84153163292051e-08,0.0042709428152694,8.47019310731357,0.774445665283984,0.861998677143881,0.0875530118598967,16,54546975,F,I,,IGR,opensea,IGR-opensea,,,
cg14209072,-0.314727306139596,0.237292720569909,-7.15953799759127,5.39933858831014e-08,0.0042709428152694,8.36269779180109,0.0850053143733297,0.399732620512926,0.314727306139596,10,72645792,R,II,PCBD1,Body,shore,Body-shore,chr10:72647738-72648317,rs377236896;rs116408702,40;2
cg06497721,-0.227947364685953,0.264205144602889,-7.05474180126374,7.17650357615121e-08,0.00461942259542856,8.08220112449567,0.153908032658072,0.381855397344026,0.227947364685953,20,49006743,F,II,,IGR,opensea,IGR-opensea,,rs73912308,13
cg03278811,-0.232863878027648,0.244933494639958,-7.05144837762395,7.24110332250114e-08,0.00461942259542856,8.07336698141537,0.132257424626581,0.365121302654228,0.232863878027648,6,108883330,F,II,FOXO3,Body,island,Body-island,chr6:108878830-108883404,rs149457634,0
cg00405713,-0.28199753125951,0.390891557788765,-7.02477495062034,7.78651701478734e-08,0.00461942259542856,8.00177726928234,0.254441139437389,0.5364386706969,0.281997531259511,2,172886349,F,II,METAP1D,Body,opensea,Body-opensea,,rs138831237,3
cg21483494,-0.315707103113347,0.372993641935837,-6.90047182242133,1.09331846554153e-07,0.00593250213448513,7.66718704526986,0.220232140429378,0.535939243542725,0.315707103113347,9,37427036,F,II,GRHPR,Body,opensea,Body-opensea,,rs141814345;rs559512802,29;35
cg14027641,-0.18708256784219,0.252571579391483,-6.87676299369339,1.16664905982337e-07,0.00593250213448513,7.6031920163842,0.162047756242036,0.349130324084226,0.18708256784219,22,23484956,R,II,RSPH14,TSS1500,shore,TSS1500-shore,chr22:23483997-23484309,rs79862190;rs540076461;rs556325554,46;2;1
cg19112952,0.106839655995855,0.733152393483078,6.77154708106484,1.55723738173133e-07,0.00739076281110489,7.3185298488113,0.784849001223007,0.678009345227153,-0.106839655995854,5,150466688,F,II,TNIP1,1stExon,opensea,1stExon-opensea,,rs8177833;rs550288735;rs149067479,3;49;51
cg23773868,-0.302918966182371,0.322761004828102,-6.64212056093997,2.22469869732672e-07,0.00969626052897994,6.96693766814462,0.176187311514051,0.479106277696422,0.302918966182371,19,47860274,F,II,DHX34,Body,opensea,Body-opensea,,rs539149025;rs552850341,4;50
cg16919295,-0.257079464768359,0.23808335089589,-6.62765575747946,2.31540781070469e-07,0.00969626052897994,6.92754943339274,0.113690061491845,0.370769526260204,0.257079464768359,2,23421947,F,II,,IGR,opensea,IGR-opensea,,rs575860788,16
