"","Delta_Beta_Mean"
"cg14361672",-0.124122739224794
"cg01763666",-0.129829959279213
"cg19607165",-0.106619567045003
"cg00376553",0.159583844411149
"cg08360726",0.170353913466774
"cg14085177",-0.0643869226753976
"cg00418216",0.0685441735200932
"cg01846046",0.131977454512294
"cg11968091",-0.132116782872567
"cg15545739",0.0989327839898497
"cg04680436",-0.121488063213536
"cg21855135",-0.0597033078527156
"cg04452437",0.0835275507813195
"cg20870000",-0.0744206556863219
"cg19306063",-0.0902532525881231
"cg19747604",0.143761681431082
"cg11898486",0.0507088158856215
"cg03582371",0.169283321075047
"cg23467008",-0.0614667751226075
"cg04231085",0.0701471457872018
"cg24954668",0.0715072668555759
"cg04701628",-0.161691493643218
"cg24283027",0.113513732325127
"cg21153898",0.0790667859190499
"cg22416916",-0.262332929421205
"cg07105421",0.0791733321560173
"cg15032962",-0.0484268300677656
"cg13051700",-0.0655208210732019
"cg07408779",0.0698911990876518
"cg25268100",0.107365811034928
"cg10287137",-0.227611723965006
"cg13817395",0.0644565286276447
"cg10580335",0.104310848604406
"cg00811777",0.0458553931686737
"cg00401797",-0.0721338581122219
"cg27312312",0.0842470470777383
"cg10313047",0.183012851957982
"cg04486778",-0.0424553748675953
"cg22796860",-0.142156319572651
"cg07753073",-0.0652688589947438
"cg01052614",-0.0617247911227882
"cg04797323",-0.187765116681602
"cg07620334",-0.0660204999192877
"cg07231005",-0.0667466769539075
"cg13977827",-0.102672734525337
"cg08260766",0.252249069040926
"cg21176130",0.0702630848325445
"cg01278596",-0.107814351776748
"cg21620107",0.0983120342477947
"cg01786306",0.0657746071868573
"cg08319417",-0.256822936784013
"cg20077343",-0.13644744307905
"cg15737177",0.0892181224926201
"cg19706446",-0.0788324078000152
"cg01021742",-0.092781783278573
"cg17198762",-0.067164384102723
"cg15521792",-0.0891554143200369
"cg18655113",-0.113473684955367
"cg06797617",0.0572842232987825
"cg13352750",-0.0604252663436015
"cg12538435",0.0846049394545843
"cg22888055",0.117208114270827
"cg11474464",-0.0803358153610631
"cg01489441",0.0951002509982231
"cg02890368",0.0572932075369334
"cg03264550",0.076346439741358
"cg20278383",-0.231526629211431
"cg15244183",-0.0840949224990627
"cg03538480",-0.152876857837012
"cg20253172",0.147841693895313
"cg23279756",0.175961638512009
"cg19138865",0.146978223230492
"cg05506446",0.0499826151554801
"cg11961495",0.232317066616452
"cg13900773",0.0423619584075221
"cg02873315",-0.049494956287519
"cg05996795",-0.041790816675477
"cg10453419",-0.218551330726552
"cg23356562",0.118784546039538
"cg17357286",0.0949586970972172
"cg21587837",0.037575311533511
"cg23740135",-0.0461468430451218
"cg17031787",0.0531213374201063
"cg23930711",0.0371461363249465
"cg14848772",0.0893276869090591
"cg25417842",0.18526365378033
"cg06422471",0.31963300852338
"cg16750801",-0.148057223807417
"cg13374701",0.112726760692264
"cg05467676",0.173310164860337
"cg06060835",-0.137112374625386
"cg27266176",0.0504300215591685
"cg05972352",0.0491915643213801
"cg13607935",0.0446914139688782
"cg23901592",-0.105968841324159
"cg09401661",0.0419171129614442
"cg03130962",0.125439516621901
"cg15829642",0.0804324473046053
"cg01021547",0.0440646425660266
"cg19026977",-0.0843143547399844
"cg19187155",0.263035951937032
"cg02407415",-0.159736873058385
"cg09305898",0.058854326771596
"cg21050234",-0.0468126108149435
"cg25257677",0.0642060626642333
"cg16195332",-0.0707473425628981
"cg03738384",-0.0561582606381514
"cg25147376",-0.0431063031758507
"cg09343092",0.204926864460063
"cg19489885",0.0483153773339871
"cg19706320",-0.0370565612497802
"cg03414757",-0.071349255042547
"cg11026555",-0.164317724725599
"cg24128590",0.0748135834281278
"cg23455227",-0.12360606233024
"cg09938784",0.194954982538948
"cg00263677",0.113996905189781
"cg05827546",-0.0983175152574715
"cg22198044",0.192656526508448
"cg01140515",-0.0527579618396241
"cg18566515",0.202297095025941
"cg16795455",-0.0922289532354002
"cg01222133",0.0495438735771628
"cg10763234",-0.23349682235579
"cg11964308",0.132193906031901
"cg07900658",0.0928294472541314
"cg13086574",-0.153709319550362
"cg21085331",-0.192102044900458
"cg09197492",-0.179354417920781
"cg02395917",0.132776485570685
"cg12177182",-0.0460032719532894
"cg24731441",0.0736852222674037
"cg04517722",-0.0579987618050124
"cg08659394",-0.117772642675446
"cg14480530",0.0696077313615663
"cg01529076",0.0909545607341515
"cg21557219",0.061298975002936
"cg00076195",-0.0897307623272508
"cg10077239",0.139472077555841
"cg17977470",0.098002746794851
"cg23847381",-0.0988461296564405
"cg10747192",0.112635433216077
"cg21139150",0.198964726490975
"cg21480173",0.0669189693079348
"cg01049205",0.0887632604639371
"cg07120156",0.0848483765096421
"cg19999567",0.0553376247070859
"cg20957428",-0.0708874447604775
"cg10535597",0.0791934129578116
"cg23804620",0.246431681632596
"cg06993467",0.0406950837125491
"cg01885839",-0.111307153383112
"cg04752871",-0.138310735746555
"cg05447100",0.0704887256583536
"cg23125492",0.107934248617218
"cg19498237",-0.135758572492341
"cg25915539",-0.061118735019214
"cg03554133",-0.0557208213214397
"cg07541744",-0.0981129563182482
"cg00164941",-0.100268741046932
"cg26694831",0.105150155249244
"cg00211208",0.0356726926166186
"cg25594486",0.0739181729207109
"cg11466301",0.150094317251986
"cg18550476",0.0692818964903302
"cg10781408",-0.0718309150310175
"cg11204139",-0.441540827435286
"cg06206902",-0.0496009581064707
"cg15134787",-0.0743551062894755
"cg21920469",0.0521296313852691
"cg06397345",0.0976778450657666
"cg14530382",-0.0877839260285383
"cg02969141",0.0483570861445136
"cg19613592",0.0945643176492524
"cg24541426",0.276308821483776
"cg07412317",-0.0875683631266834
"cg13187009",0.126916031251533
"cg09836921",0.131298685777174
"cg08469215",-0.083980629248058
"cg10403171",0.0762868583104349
"cg13941474",0.0900086410301537
"cg08827060",0.089004425091127
"cg06646682",0.0595131311456442
"cg01907476",-0.0453842132083186
"cg05633407",-0.0465412589382116
"cg02599498",-0.109021655727296
"cg26418147",-0.134259691840636
"cg15416488",0.0563997725965031
"cg04109781",-0.0941201938869963
"cg14199833",0.0570063159386967
"cg01367310",-0.0351662238441034
"cg11206526",0.0559371356042672
"cg09332171",-0.139995485016497
"cg05977002",-0.167721934194533
"cg06463365",0.0456438113374741
"cg08071719",0.0868386140136329
"cg26978172",0.193538937866849
"cg02741882",0.0979046442352512
"cg03363478",-0.04215123393574
"cg04654530",0.14806121009943
"cg18710053",0.102736093571683
"cg24495585",-0.085362671976576
"cg14228592",0.0546100042672729
"cg02924487",0.110579970902716
"cg01335210",-0.0963263753755156
"cg21189224",-0.0988290866659923
"cg05167429",0.0697874767557712
"cg14132888",-0.0676996884690683
"cg19093370",-0.0933851317681585
"cg10665321",-0.199852617778933
"cg25416067",0.152227910162667
"cg07779653",0.0479858842989095
"cg10836110",0.0437909207554728
"cg24074480",0.15292379457089
"cg06720949",0.139581290664667
"cg17386213",0.0382927228009972
"cg08928753",-0.122953928176204
"cg18261205",-0.190597052203369
"cg01524690",-0.158493347756343
"cg02139853",0.0331282511335872
"cg05277504",0.150010639769005
"cg27260867",-0.116151862972061
"cg15100426",-0.0389320604295682
"cg18071894",-0.149756441110098
"cg22524657",-0.0388175456125483
"cg21488876",-0.0737873094535035
"cg12920180",-0.0744365473599121
"cg19047868",0.223315493897031
"cg11872300",0.140061245741715
"cg17339927",0.0509942796326903
"cg26019112",0.0836988948618569
"cg14732324",-0.104605306192929
"cg14631218",0.0604110834843046
"cg19923629",-0.0876398708373298
"cg14518178",-0.21863810939338
"cg19948393",-0.036611861634479
"cg07223952",-0.303230082213908
"cg08492912",0.0740014077834353
"cg27040104",-0.0609707019598184
"cg18064824",0.0925166594754346
"cg05583608",-0.118546325047287
"cg00300879",0.100507016750645
"cg17586885",0.0953786041863157
"cg06846259",0.0543269776548921
"cg05799169",0.0731276610534141
"cg13783764",0.0971595794697437
"cg04117801",0.200118282757059
"cg01854776",0.151588987504227
"cg01428437",0.0795574440341585
"cg12989128",-0.0819233036461231
"cg01945840",-0.0657125007202707
"cg13362546",0.0726863294617888
"cg21540621",-0.0906723242151481
"cg21145284",0.0878278252311337
"cg02086046",0.0682245861378629
"cg06895831",0.0848062649403218
"cg10928426",0.118604777263825
"cg07033093",-0.0579345249552071
"cg08455410",0.0777643177882075
"cg18628255",0.110941944948755
"cg14268632",-0.0358924710983385
"cg04784519",-0.119194616628211
"cg06637774",-0.0494397396773901
"cg19343809",0.0854615512062286
"cg03650429",-0.123536034574644
"cg19748840",-0.0817190596140355
"cg09371559",0.0611328881829269
"cg17928147",0.0492276263440406
"cg07977202",0.16891386916824
"cg25632853",-0.0649630032659104
"cg11738485",0.166331242862225
"cg06768177",0.305919230929564
"cg14677130",-0.0643420548020266
"cg07333715",-0.150779618739608
"cg23376870",-0.0467344397270618
"cg05969038",-0.0545833413291262
"cg04503319",0.0624052319810079
"cg07231955",0.0568292328573174
"cg08569979",-0.0784590561097754
"cg10113760",0.063110846390395
"cg25258098",0.120874989310736
"cg00597107",0.233790872342778
"cg16823064",0.223303579575903
"cg25736251",0.103632657190374
"cg20094279",-0.160574419772958
"cg00029979",0.0643073135896706
"cg24844295",-0.106839002758382
"cg22162544",0.0706838149812806
"cg11497952",-0.0651563084521579
"cg02635865",-0.0416899289986918
"cg07142010",-0.0656198600227457
"cg14304817",0.0686236891008428
"cg04446762",-0.128637757720335
"cg10881128",0.0862307690728857
"cg12112870",0.0482784822947054
"cg12389685",0.132167076979486
"cg22638593",0.0879807369935103
"cg00636079",-0.0998217619308296
"cg15590007",-0.0697065779492456
"cg07963234",0.0528061284542899
"cg20095851",0.18538790626429
"cg18631743",-0.0839038646469004
"cg01361068",0.055235973957439
"cg02299497",0.0944764689202202
"cg21814870",-0.0692495003443967
"cg15713103",-0.113476844868658
"cg10899768",0.0824790340386315
"cg24829409",-0.0807564692823294
"cg21519872",-0.0391212078310886
"cg23498445",-0.0847258137457227
"cg11721177",0.0920684347814748
"cg23760103",0.069948097564594
"cg09642740",0.130175555589804
"cg19809791",0.143129106359092
"cg15443535",0.0831317109706728
"cg11099006",-0.120560212048469
"cg12649455",-0.139836125676393
"cg17337668",0.14669857427661
"cg15614119",-0.097288096644034
"cg05690644",-0.110848814661704
"cg27169129",-0.142432849001362
"cg08754654",-0.0803535832912187
"cg14920808",0.110803764559317
"cg24827726",-0.0648674464947479
"cg01895649",0.0639273854483067
"cg26173375",-0.11165174538711
"cg20494635",-0.0512642527842085
"cg16550453",-0.0489980901650392
"cg13356540",0.0739067912411615
"cg14489570",-0.115345841566254
"cg22200633",0.112566947702162
"cg14904363",-0.137207148550177
"cg02880444",0.110370412336925
"cg25075135",0.180175221040036
"cg17983632",0.12473518585532
"cg14648534",0.103380654657807
"cg06802630",-0.0379384517099688
"cg24922129",-0.230913648340379
"cg22272840",0.0493130365489977
"cg08830300",-0.0766811759358349
"cg26863172",-0.087963406888062
"cg01008256",-0.282761879358732
"cg03992096",-0.0470092420943798
"cg05967295",0.0559225556230803
"cg20272209",-0.197512655084673
"cg08730747",0.0349016812227946
"cg02009088",-0.245901078358919
"cg08266974",0.0358997589129954
"cg17412901",-0.105605815688204
"cg06777516",-0.0830876660899242
"cg16134686",-0.0602097930691137
"cg10614768",-0.0934949170874571
"cg12590521",0.0948990753621671
"cg13238680",-0.0716484538875928
"cg05142617",0.118192758621333
"cg01456368",0.245144244493575
"cg16748008",-0.0523273501854615
"cg03441945",0.0986021726376214
"cg03291607",0.0706320015836995
"cg24998349",0.0698092319488761
"cg05965745",0.271892851094355
"cg08886482",-0.0528861019792107
"cg03926815",-0.0461101507966526
"cg03301582",-0.0459454059654265
"cg06691343",0.0477872592213275
"cg12495559",0.163652447225636
"cg01673931",-0.220458676535955
"cg17250863",0.12193657075596
"cg15600935",-0.34486462027698
"cg07201754",-0.132296948486785
"cg08264122",0.195959095601107
"cg07909402",0.0796373905439993
"cg08448284",0.142569695467732
"cg16288399",-0.270427388663158
"cg24383507",-0.14433267035527
"cg00950706",0.125244101569688
"cg11815057",0.0981789151681877
"cg25423004",0.159762943520217
"cg18414021",0.142462081581135
"cg18759102",-0.114224680864219
"cg20848979",-0.195570534308706
"cg04454285",-0.061508962119357
"cg17249268",-0.0512938987859745
"cg04562611",0.123878651213791
"cg13937462",-0.0630089425833507
"cg23063311",-0.21141093077701
"cg25643154",0.189188898336595
"cg00025439",-0.27230132931169
"cg20415517",-0.202958683350451
"cg08260052",0.101261666203933
"cg10144604",0.0514291996373604
"cg06766427",-0.0936868647964288
"cg06956240",-0.121493025432544
"cg11363972",0.0951672719111248
"cg00321614",0.0886905257465285
"cg19830372",0.078614932176481
"cg26266427",-0.22810117072329
"cg17117981",0.0577712223856029
"cg05452084",0.0506203013434554
"cg17939040",0.0476041738796285
"cg05537267",0.105723566960546
"cg07974511",0.137351257529137
"cg08057038",-0.0631019022497146
"cg01263877",-0.0745509966301326
"cg10022966",-0.113724621455415
"cg23704627",0.0721845961459952
"cg19924540",-0.0447851541776229
"cg14065576",-0.137708017615709
"cg24173182",-0.120169698405644
"cg08460435",0.0635937618447133
"cg24585418",-0.143895761931068
"cg08040395",0.0783044779858983
"cg09220891",0.119888941753592
"cg01445163",0.0695153718072739
"cg07806248",0.0546524173828157
"cg05753589",0.132734051766546
"cg13280041",-0.101997403207777
"cg21556232",0.0454194260775145
"cg27368606",0.179362961117951
"cg06474225",-0.098363889071589
"cg17650028",-0.24977948196916
"cg07805221",0.0414791699672368
"cg08624472",-0.0565771151581153
"cg20460514",0.139611810430615
"cg10641258",0.105551934644778
"cg10150421",-0.0650763780965669
"cg14711997",-0.122721524839752
"cg15363314",-0.0593122956906072
"cg03606898",0.110623941545121
"cg14171514",0.0796378128534753
"cg24891434",-0.0853109662233076
"cg07803375",0.0530216373213028
"cg14419975",0.0837829257607472
"cg12850379",0.0683175392861586
"cg21226965",-0.203096594354862
"cg03772909",0.0447206331045019
"cg09143801",0.166981695419278
"cg00742920",0.191430813586763
"cg15831296",0.0372768861397589
"cg26736850",-0.145954576300776
"cg06460328",0.041801098683736
"cg10604373",0.0309341349124753
"cg24130739",0.0481391702893737
"cg11743259",-0.0566796900709834
"cg12582028",-0.0918740909080394
"cg16926213",0.0890854147633049
"cg14378084",0.133258066505782
"cg18542688",0.0572395192496146
"cg00943909",0.0425557760793724
"cg05099952",0.0310703597043239
"cg08419873",0.0906895314406052
"cg11125883",0.0734565369830769
"cg07910460",0.107951575255182
"cg08399336",0.0491411911598041
"cg06924878",-0.107075175440567
"cg23162201",0.0959971439018898
"cg18707501",-0.131898080936605
"cg08163163",0.0828836985272104
"cg03460534",0.145793035500821
"cg19381766",0.0575122102937658
"cg20745987",0.101876052412997
"cg00651829",-0.0519593878712408
"cg08118034",0.101770007171637
"cg03813151",0.156352411292261
"cg02580923",-0.0785916623718382
"cg25976672",0.0708771942812547
"cg09610826",0.0699883775958763
"cg26467631",-0.108906616782429
"cg13498216",-0.205531975707257
"cg12101586",-0.0475737716842923
"cg24440658",-0.0942428734444129
"cg20964064",0.129757862851739
"cg02820072",-0.0770077588420333
"cg13617776",0.199136932381066
"cg23602453",0.0733147540621397
"cg10177032",-0.0943915660652985
"cg07509323",0.076545839689434
"cg12232731",0.0451795354328412
"cg08553857",-0.0708508727030604
"cg12858864",-0.174482339827665
"cg00682096",0.203353638098986
"cg10959711",0.153541997364989
"cg20389709",-0.281033338886774
"cg01287088",-0.0808743482808358
"cg15079605",-0.0810106494893327
"cg18672998",-0.0570559890582909
"cg22777520",-0.0431628265228943
"cg01330312",-0.0759864382069486
"cg04330597",0.187410387984312
"cg06458248",0.0575735933455281
"cg11870100",-0.108985814333145
"cg18575532",0.107073429411609
"cg21498785",0.0566801677764837
"cg08845329",0.0730982020408987
"cg23316599",-0.0465319745676458
"cg10036920",-0.0449869418640632
"cg17431280",-0.214938101453893
"cg15496956",-0.123372048130062
"cg02159489",-0.21479089150652
"cg16705273",0.180032262366572
"cg09451427",-0.0528009875928549
"cg00626702",0.215932093276714
"cg13470333",0.0485233388418598
"cg27115821",-0.0701758283321775
"cg10371280",-0.0859132464257345
"cg10612096",-0.101969746465114
"cg00270625",0.124572674729216
"cg16513459",0.138586099689132
"cg07607077",0.0555945543463075
"cg13645530",0.0855137972485952
"cg14457782",0.0776248861414018
"cg19022697",0.216222751926706
"cg15815333",0.125352485553275
"cg27058889",0.0584469190074645
"cg16278107",-0.120763604023377
"cg18536123",-0.0579716104491196
"cg27360784",0.0647139629407617
"cg17485681",0.0867575439595636
"cg26107890",-0.169381370334647
"cg01121022",-0.215694382408532
"cg10243004",-0.0837375236910843
"cg19344626",0.141724321453405
"cg02032299",-0.162661129790396
"cg07153665",-0.0655654292888723
"cg13579205",0.12535824122202
"cg25916282",0.211522102459573
"cg07059402",0.107926306812822
"cg22151446",0.0519489202489157
"cg27455470",0.110637824871165
"cg22812442",0.0521867431314367
"cg02457346",0.0428183381373356
"cg08701843",-0.0691228530998669
"cg04085768",0.0780680920624911
"cg08930904",-0.0656143343340087
"cg23371746",0.108840004655193
"cg18016138",-0.239823701646707
"cg26701563",-0.0414506977143995
"cg21513254",0.0416389689279151
"cg21949858",0.115005461023954
"cg01822203",-0.0425657916902466
"cg09674093",0.0431947680193524
"cg20586076",-0.0628037732850067
"cg12866899",0.0374716796958143
"cg12249345",-0.063259383101506
"cg08260245",0.141163533324572
"cg13697378",-0.083254952218533
"cg05743713",-0.155359801874742
"cg05414442",-0.0714669583254383
"cg14473643",-0.0899273030894945
"cg08732456",0.041600352716241
"cg11840197",-0.0861774074097307
"cg17623793",-0.0409727234211253
"cg07806886",0.0796999543104849
"cg07135629",-0.144940403651013
"cg10819199",-0.162148153241098
"cg17479060",-0.0809811824912994
"cg05664039",-0.321660343001531
"cg21920221",0.0930626236592321
"cg25169679",0.0449227316886134
"cg09160231",0.148838701905992
"cg12498801",-0.0945533222427831
"cg12444736",0.0407250078186025
"cg05977934",0.0371896129940623
"cg18582992",-0.0751577529830737
"cg16553238",0.0781726354303149
"cg24688309",0.0389485153679916
"cg12171484",0.0489431922874699
"cg20679626",0.176745209243711
"cg26815843",-0.108336160004494
"cg14182517",0.106749144208332
"cg25090514",0.0713649276803931
"cg24123311",0.0811013628974327
"cg23014605",-0.0864825640503512
"cg15990629",-0.0727350672899068
"cg21644740",0.0721036732884625
"cg09487134",-0.0623935808840791
"cg15803221",-0.0382511061455452
"cg18076399",0.0513208413232233
"cg03398910",-0.219601889946382
"cg03532030",-0.0691473755660331
"cg25372841",0.0445106662176154
"cg07031408",0.105537634873116
"cg11827743",0.0574081931193824
"cg09069072",-0.1844181727605
"cg20189808",-0.0724229419856751
"cg07213830",0.0628472156988616
"cg21733531",0.0559129286076704
"cg18169505",-0.0813039381820354
"cg20443357",-0.213309900837971
"cg01642579",0.0886386654198355
"cg19418458",-0.124871898575625
"cg03036210",-0.103935677575638
"cg11147215",0.144575039500864
"cg24376802",0.18912572314014
"cg07095230",0.0689946410990138
"cg14444751",0.0508399736504365
"cg07028389",-0.0837440483874932
"cg09335713",-0.0962447870440228
"cg08883853",-0.0948816086439102
"cg15046062",0.0882741113897432
"cg13547132",0.0405752840405804
"cg20666917",0.0927589614586078
"cg12069309",0.060025370582908
"cg08886695",-0.162731703492502
"cg15977685",-0.162889229403291
"cg06212670",-0.18061916514365
"cg10940066",-0.0362027703570184
"cg06662140",-0.226087721986244
"cg15262317",-0.195140481247221
"cg17329287",0.0876917042193146
"cg19618279",-0.0623575313328084
"cg25053142",0.0613989017766657
"cg13682333",0.126321595217649
"cg04150136",-0.154868128887579
"cg05849431",0.0921667775149735
"cg13794588",-0.0642664326254006
"cg02289343",0.0711157200547205
"cg20068535",0.0570752823449773
"cg09533843",0.124099362187758
"cg10717691",-0.0888720370137715
"cg26079857",0.126191223226952
"cg23405152",-0.0516309591931798
"cg01829241",0.0625724090627982
"cg11018337",0.0415247723049358
"cg00253658",0.126417301580268
"cg06191091",-0.0628470318453996
"cg01952313",0.122050238157865
"cg24799921",-0.0502536683096517
"cg18448949",0.323581863230331
"cg17928286",0.129834950857809
"cg03084308",0.13424123058626
"cg26502666",0.0422642669523349
"cg06495310",0.086423509191731
"cg27391627",0.0750629839260002
"cg01891940",-0.0461599257026205
